palavra,frequência,tipo
opening,1,N
route,1,N
advisor,1,N
internship,1,N
opportunity,1,N
disposal,1,N
modification,1,N
deletion,1,N
relevance,1,N
campus,1,N
behavior,1,N
r,1,N
privacy,1,N
login,1,N
attendend,1,N
show,1,N
countdown,1,N
beta.nsf.gov,1,N
log,1,N
alternative,1,N
store,1,N
denial,1,N
release,1,N
listserv,1,N
collaborator,1,N
relationship,1,N
check,1,N
licensing,1,N
librarydiscoveryoperator,1,N
meeting,1,N
column,1,N
transactional,1,N
gis,1,N
layer,1,N
physiology,1,N
username,1,N
tier,1,N
talent,1,N
accountant,1,N
bill,1,N
consumption,1,N
intention,1,N
licence,1,N
window,1,N
name(s,1,N
benefit,1,N
appearance,1,N
knowledge,1,N
head,1,N
posting,1,N
command,1,N
personnel,1,N
metric,1,N
bootstrap,1,N
integrity,1,N
researcherid,1,N
ambiguity,1,N
satisfaction,1,N
snapshot,1,N
server,1,N
acocunt,1,N
rector,1,N
improvement,1,N
fundingbody,1,N
effectiveness,1,N
cross,1,N
fertilisation,1,N
availability,1,N
domain,1,N
model,1,N
cli,1,N
product,1,N
price,1,N
guy,1,N
sprint,1,N
identity,1,N
theft,1,N
telephone,1,N
harassment,1,N
paste,1,N
d1,1,N
load,1,N
condition,1,N
clearance,1,N
correction,1,N
menu,1,N
ip,1,N
cc,1,N
miscommunication,1,N
audience,1,N
influence,1,N
community,1,N
discovery,1,N
law,1,N
development,1,N
business,1,N
relation,1,N
leader,1,N
control,1,N
sort,1,N
issuance,1,N
diary,1,N
segment,1,N
recruiting,1,N
interviewee,1,N
talk,1,N
broker,1,N
loader,1,N
agency,1,N
publishedawardfinancialassistance,1,N
table,1,N
skill,1,N
seo,1,N
write,1,N
up,1,N
